author_display,title_display
"Salmon River Ranger District (Calif.), author.",Compliance with migratory bird memorandum of understanding : Forest procedures for NEPA documentation Craggy vegetation management project (Craggy project).
United States. Congress. Senate. Committee on the District of Columbia. author.,"District of Columbia charter act : hearings before the Committee on the District of Columbia, United States Senate, Eighty-seventh Congress, second session, on S. 287 and S. 2342, bills to provide an elected mayor, city council, and nonvoting delegate to the House of Representatives for the District of Columbia, and for other purposes, April 4 and 5, 1962"
"United States. Congress. Senate. Committee on the District of Columbia. Subcommittee on Public Health, Education, Welfare, and Safety.","Prohibit exploitation by private employment agencies in the District of Columbia: hearings before the Subcommittee on Public Health, Education, Welfare, and Safety of the Committee on the District of Columbia, United States Senate, Eighty-seventh Congress, second session, on S. 3259: to regulate private employment agencies in the District of Columbia, June 26 and 29, 1962"
United States. Congress. Senate. Committee on the District of Columbia. Subcommittee on Fiscal Affairs.,"Transfer of Glover-Archbold Parkway right-of-way to National Capital Parks System: hearings, Eighty-seventh Congress, second session on S. 2436, to transfer certain land in the District of Columbia to the Secretary of the Interior for administration as a part of the National Capital Parks system, and for other purposes, April 2 and 3, 1962"
"Salmon River Ranger District (Calif.), author.","Geology report, Craggy vegetation management project"
United States. Congress. Senate. Committee on Public Works. Subcommittee on Public Buildings and Grounds.,"Public buildings : hearing before a subcommittee of the Committee on Public Works, United States Senate, Eighty-sixth Congress, first session, on S. 1654 and H.R. 7645, providing for the construction, alteration, and acquisition of public buildings of the Federal Government, and for other purposes ; .S.J. Res. 115 and S. 2057, authorizing the acquisition of land for donation to the Pan American Health Organization as a headquarters site, July 22, 1959"
"","Payment of retired pay to members and former members of the Army : financial administration, change 2."
"",Military pay and allowances procedures joint uniform military pay system (JUMPS-Army).
"","Military pay and allowances procedures joint uniform military pay system (JUMPS-Army) : financial administration, effective 1 May 1983"
"Salmon River Ranger District (Calif.), author.","Soil report, Craggy vegetation management project"
United States. Congress. House. Committee on Merchant Marine and Fisheries. Special Subcommittee on Freight Forwarders and Brokers.,"Investigation into the activities of foreign freight forwarders and brokers. hearings before the Special Subcommittee on Freight Forwarders and Brokers of the Committee on Merchant Marine and Fisheries, House of Representatives, Eighty-fourth Congress, first and second sessions"
"","Your baby at 2 months, Su bebe a los 2 meses"
"","Financial administration : budgeting, accounting, reporting, and responsibilities for industrial funded installations and activities, change no.2."
"",Health effects assessment for xylene
"",Financial administration : general accounting and reporting for finance and accounting offices
"",Financial administration : general accounting and reporting for finance and accounting offices
"",Health effects assessment for xylene
"","Financial administration : Working capital funds - Army stock - uniform policies, principles, and procedures governing Army stock fund operations"
"United States. Congress. Senate. Committee on Foreign Relations, author.","Afghanistan : U.S. policy and international commitments : hearing before the Committee on Foreign Relations, United States Senate, One Hundred Fourteenth Congress, second session, September 15, 2016"
"","Medical services : composition, mission, and functions of the Army Medical Department"
"","Medical services : medical record and quality assurance administration, change no.2."
"United States. Congress. House. Committee on House Administration, author.","Oversight of the Architect of the Capitol's Office of Inspector General : hearing before the Committee on House Administration, House of Representatives, One Hundred Fifteenth Congress, first session, May 24, 2017"
United States. Army Medical Service.,Standards of medical fitness
"Leonard, B. F. (Benjamin Franklin), 1921-","Ore deposits of the St. Lawrence County magnetite district, northwest Adirondacks, New York"
"United States. Congress. House. Committee on Armed Services. Strategic Forces Subcommittee, author.","Hearing on National Defense Authorization Act for Fiscal Year 2018 and oversight of previously authorized programs before the Committee on Armed Services, House of Representatives, One Hundred Fifteenth Congress, first session : Subcommittee on Strategic Forces hearing on fiscal year 2018 priorities and posture of the National Security Space enterprise, hearing held May 19, 2017"
"",Military police : Nuclear surety (U).
"Buddington, A. F. (Arthur Francis), 1890-","Regional geology of the St. Lawrence County magnetite district, northwest Adirondacks, New York"
"",Su bebe a los 4 meses
"",Watershed protection : catalog of federal programs
"",Watershed protection : catalog of federal programs
"","Transportation and travel : terminal facilities guide, United States Air Force"
"","When you think of polluted waters, think about your streams and rivers"
"Parker, Raymond L. (Raymond Laurence),",Data of geochemistry
"","Surface transportation : use of intermodal containers, special purpose vans, and tactical shelters"
"Foster, William B. (William Bell), 1893-",Physical standards in World War II
"",Surface transportation : ship and terminal demurrage and unused shipping space
"Foster, William B. (William Bell), 1893-",Physical standards in World War II
"Emery, K. O. (Kenneth Orris), 1914-1998,",Marine geology of Guam
"",Water supply-wastewater treatment coordination study
"",Water supply-wastewater treatment coordination study
"United States, enacting jurisdiction.",An Act to Amend the Controlled Substances Act with Regard to the Provision of Emergency Medical Services
"","Exchange Service : Army and Air Force exchange services (AAFES) operating policies, chg. no.I02"
"",Exchange Service : personnel policies
United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Railroad Retirement.,"Amending the Railroad retirement act of 1937 : hearings before the Subcommittee on Railroad Retirement of the Committee on Labor and Public Welfare. United States Senate, Eighty-fifth Congress, first session, on S. 360 [and others]."
"","Communications : electronics telecommunications requirements, planning, dev. & proc., eff. April 15 1975"
"United States, enacting jurisdiction.","Women, Peace, and Security Act of 2017"
"Rinehart, C. Dean (Charles Dean), 1922-","Geology and mineral deposits of the Mount Morrison quadrangle, Sierra Nevada, California"
"",Water quality standards summary for interstate waters in the Commonwealth of Pennsylvania
"",Water quality standards summary for interstate waters in the Commonwealth of Pennsylvania
"",Audiovisual services : Army training and audiovisual support
"United States. Congress. House. Committee on Resources. Subcommittee on Fisheries Conservation, Wildlife, and Oceans, author.","GAO report on ""Opportunities to improve the management and oversight of oil and gas activities on public lands"" : oversight hearing before the Subcommittee on Fisheries Conservation, Wildlife, and Oceans of the Committee on Resources, House of Representatives, One Hundred Eighth Congress, first session, Thursday, October 30, 2003"
United States. Department of the Army.,Separation of officers
"",Is your proposed wastewater project too costly? : options for small communities
"United States, enacting jurisdiction.","An Act to Ensure That the Federal Emergency Management Agency's Current Efforts to Modernize Its Grant Management System Includes Applicant Accessibility and Transparency, and for Other Purposes"
"",Army National Guard and Army Reserve qualifying service for retired pay nonregular service
United States. Department of the Army.,Motor vehicle traffic supervision
"Hansen, Wallace R., 1920-","Stratigraphy and structure of the Rainier and USGS tunnel areas, Nevada Test Site"
"Jeffcott, George F.,",United States Army Dental Service in World War II
"United States, enacting jurisdiction.","An Act to Amend Title 38, United States Code, to Clarify the Authority of the Secretary of Veterans Affairs to Disclose Certain Patient Information to State Controlled Substance Monitoring Programs, and for Other Purposes"
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on the Western Hemisphere, author.","Expressing support to the Government of Argentina for its investigation into the terrorist bombing of the Embassy of Israel in Buenos Aires on March 17, 1992; expressing concern and condemnation over the political, economic, social, and humanitarian crisis in Venezuela; reaffirming a strong commitment to the United States-Mexico partnership; and Nicaragua Investment Conditionality Act of 2017 : markup before the Subcommittee on the Western Hemisphere of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session on, H. Res. 201, H. Res. 259, H. Res. 336 and H. R. 1918, May 24, 2017"
"Jeffcott, George F.,",United States Army Dental Service in World War II
"",Military Police : physical security
"United States. Congress. Senate. Committee on Small Business and Entrepreneurship, author.","New Hampshire's workforce challenge : innovative approaches to attracting and retaining skilled workers : field hearing before the Committee on Small Business and Entrepreneurship, United States Senate, One Hundred Fifteenth Congress, first session, August 22, 2017"
"",Determination of the optimum massive hydraulic fracturing design for the stimulation of the Wasatch and Mesaverde formations
"",Your baby at 2 months
"Denny, Charles Storrow, 1911-","Surficial geology and soils of the Elmira-Williamsport region, New York and Pennsylvania"
"",Su bebe a los 2 meses
"",Military police : military police investigations
"",Military police : military police investigations
"United States. President (2017- : Trump), author.","Continuation of the national emergency with respect to the stabilization of Iraq : message from the President of the United States transmitting notification that the national emergency, with respect to the stabilization of Iraq, originally declared in Executive Order 13303 of May 22, 2003, is to continue in effect beyond May 22, 2017, pursuant to 50 U.S.C. 1622(d) ; Public law 94-412, Sec. 202(d) ; (90 Stat. 1257)."
"","Quarterly report, Nevada nuclear waste storage investigations"
"Armstrong, Frank C.,",The Bannock thrust zone southeastern Idaho
"",Military police records and forms : interim change no.I02
"",Your baby at 6 months
"United States, enacting jurisdiction.","An Act to Amend Title 38, United States Code, to Provide for the Designation of State Approving Agencies for Multi-State Apprenticeship Programs for Purposes of the Educational Assistance Programs of the Department of Veterans Affairs"
United States. Department of the Army.,Use of contingency limitation .0015 funds for criminal investigative activities : criminal investigation
United States. Advisory Commission on Intergovernmental Relations.,"State action on local problems, 1971 : summary of new State laws, programs and constitutional amendments designed to strengthen the response of states to needs of their local governments and citizenry"
"",Su bebe a los 6 meses
"Stanley, Kirk W.,","Effects of the Alaska earthquake of March 27, 1964 on shore processes and beach morphology"
"","Your baby at 6 months, Su bebe a los 6 meses"
"Bo'sher, Luke,",Accessibility of America's housing stock : analysis of the 2011 American Housing Survey (AHS)
"United States. President (2017- : Trump), author.","Continuation of the national emergency with respect to Yemen : communication from the President of the United States transmitting notification that the national emergency with respect to Yemen, declared in Executive Order 13611 of May 16, 2012, is to continue in effect beyond May 16, 2017, pursuant to 50 U.S.C. 1622(d) ; Public law 94-412, Sec. 202(d) ; (90 Stat. 1257)."
"al Naqib, K. M.,",Geology of the Arabian Peninsula : southwestern Iraq
"",Commercial cyclone incinerator demonstration program
United States. Advisory Commission on Intergovernmental Relations.,"State action on local problems, 1972 : summary of new State laws, programs, and constitutional amendments designed to strengthen the response of states to needs of their local governments and citizenry"
"United States, enacting jurisdiction.",Fair Access to Investment Research Act of 2017
"","Installations : installations, family housing management"
"","Installations : installations, family housing management"
"Pettijohn, F. J. (Francis John), 1904-1999,",Data of geochemistry
"United States. Congress. House. Committee on Government Reform. Subcommittee on Criminal Justice, Drug Policy, and Human Resources, author.","Implementation of national supply reduction strategy : hearing before the Subcommittee on Criminal Justice, Drug Policy, and Human Resources of the Committee on Government Reform, House of Representatives, One Hundred Eighth Congress, first session, September 17, 2003"
"Dawkins, Casey J.,",A picture of disability and designated housing
"Mason, Brian (Brian Harold), 1917-2009,",Data of geochemistry
"United States, enacting jurisdiction.","An Act to Amend Title 38, United States Code, to Extend Certain Expiring Provisions of Law Administered by the Secretary of Veterans Affairs, and for Other Purposes"
"United States. President (2017- : Trump), author.","Continuation of the national emergency with respect to the actions of the Government of Syria : communication from the President of the United States transmitting notification that the national emergency with respect to the actions of the Government of Syria, declared in Executive Order 13338 of May 11, 2004, as modified, is to continue in effect beyond May 11, 2017, pursuant to 50 U.S.C. 1622(d) ; Public law 94-412, Sec. 202(d) ; (90 Stat. 1257)."
"United States. Congress. Senate. Committee on Health, Education, Labor, and Pensions. Subcommittee on Aging, author.","Breakthroughs in Alzheimer's research : news you can use : hearing before the Subcommittee on Aging of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Eighth Congress, second session, on examining breakthroughs in Alzheimer's disease (AD) research, focusing on risk factors for developing AD, developing safe, effective preventions and treatments for AD, and the ""Maintain Your Brain"" campaign, May 11, 2004"
"Ray, Anne,","Opting in, opting out a decade later"
United States. Advisory Commission on Intergovernmental Relations.,"State actions 1974, building on innovation"
"Zeldin, Wendy I.,","Turkey, counterterrorism and justice"
"",Heterojunction solar cells
"",Less costly wastewater treatment for your town
"Waldstein, Seth W.,",Multiband reconfigurable harmonically tuned gallium nitride (GaN) solid-state power amplifier (SSPA) for cognitive radios
"",Less costly wastewater treatment for your town
"Flegel, Ashlie B.,",Ice crystal icing research at NASA
"United States. Congress. Senate. Committee on Health, Education, Labor, and Pensions. Subcommittee on Substance Abuse and Mental Health Services, author.","Performance and outcome measurement in substance abuse and mental health programs : hearing before the Subcommittee on Substance Abuse and Mental Health Services of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Eighth Congress, second session, on examining performance and outcome measurement in substance abuse and mental health programs, focusing on the mission of the Substance Abuse and Mental Health Services Administration to build resilience and facilitate recovery, July 20, 2004"
"Newman, Sandra,",The quality of America's assisted housing stock : analysis of the 2011 and 2013 American Housing Surveys
"Tyler, Robert H.,",Mathematical modeling of electrodynamics near the surface of the Earth and planetary water worlds
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.",John Muir National Historic Site Expansion Act : report (to accompany S. 729) (including cost estimate of the Congressional Budget Office).
"","Publications, blank forms, and printing management : military publications, C1."
"United States. Congress. Senate. Committee on Health, Education, Labor, and Pensions. Subcommittee on Bioterrorism and Public Health Preparedness, author.","All-hazards medical preparedness and response : hearing of the Subcommittee on Bioterrorism and Public Health Preparedness of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Ninth Congress, second session, on examining all-hazards medical preparedness and response, April 5, 2006"
"McClure, Kirk,",Length of stay in assisted housing
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.","Crags, Colorado Land Exchange Act : report (to accompany S.280) (including cost estimate of the Congressional Budget Office)."
"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs, author.","Taxpayers Right-to-Know Act : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany S. 317, to provide taxpayers with an annual report disclosing the cost and performance of government programs and areas of duplication among them, and for other purposes"
"","Publications, blank forms, and printing management : military publications"
United States. Department of the Army.,Identification and distribution of DA publications and issue of agency and command administrative publications
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.",Medgar Evers House Study Act : report (to accompany S. 644) (including cost estimate of the Congressional Budget Office).
United States. Department of the Army.,Allied communications publications (ACP) and joint Army-Navy-Air Force publications (JANAP).
"",Management information control : current as of 31 Dec. 1983
"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs, author.","Modernizing Government Travel Act : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany H.R. 274 to provide for reimbursement for the use of modern travel services by federal employees traveling on official government business, and for other purposes"
"Dawkins, Casey J.,",Rent burden in the Housing Choice Voucher program
"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs, author.","Securing Our Agriculture and Food Act : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany S. 500 to amend the Homeland Security Act of 2002 to make the Assistant Secretary of Homeland Security for Health Affairs responsible for coordinating the efforts of the Department of Homeland Security related to food, agriculture, and veterinary defense against terrorism, and for other purposes"
"",Western gas sands project status report
United States. General Accounting Office.,Office management: the Army Privacy Program--system notices and exemption rules for office housekeeping functions
United States. General Accounting Office.,Office management: the Army Privacy Program--system notices and exemptions for general personnel management and safety functions
"United States. Congress. House. Committee on Veterans' Affairs, author.",Vet Protection Act of 2017 : report together with dissenting views (to accompany H.R. 1461) (including cost estimate of the Congressional Budget Office).
United States. General Accounting Office.,Office management: the Army Privacy Program--system notices and exemption rules for communications functions
"Neeley, Paula,",Map projection induced variations in locations of polygon geofence edges
United States. General Accounting Office.,"Office management: the Army Privacy Program--system notices and exemption rules for intelligence, security, military police, and mapping functions"
United States. General Accounting Office.,Office management: the Army Privacy Program--system notices and exemption rules for legal and information functions
United States. Department of the Army.,Tactical intelligence readiness training program : training
"",Affiliation of civilian institutions with Army medical facilities program
"",An emerging technology : vacuum-assisted sludge dewatering beds: an alternative approach
"","Security, Department of the Army Information Security Program Regulation"
"",An emerging technology : vacuum-assisted sludge dewatering beds: an alternative approach
"","Operation Joint Endeavor, V Corps in Bosnia-Herzegovina, 1995-1996 : an oral history"
United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Improvements in the Federal Criminal Code.,"Composite index to hearings held by the Subcommittee on Improvements in the Federal Criminal Code of the Committee on the Judiciary, United States Senate, during the Eighty-fourth Congress, first and second session, pursuant to S. Res. 67 and S. Res. 166 : relative to Illicit Narcotics Traffic"
"","Regulations for firing guided missiles and heavy rockets for training, target practice, and combat"
"",Facilities engineering : utilities contracts
United States. Advisory Commission on Intergovernmental Relations.,"State and local taxation of privately owned property located on federal areas, summary of report A-6."
"United States. Army. Board for the Study of the Severely Wounded, author.",The physiologic effects of wounds
United States. Advisory Commission on Intergovernmental Relations.,"State and local taxation of privately owned property located on federal areas, proposed amendment of Buck Act"
"United States. Army. Board for the Study of the Severely Wounded, author.",The physiologic effects of wounds
"United States. Government Accountability Office, author.","Federal Housing Administration, capital requirements and stress testing practices need strengthening : report to congressional requesters"
"United States. President (2017- : Trump), author.","Continuation of the national emergency with respect to Belarus : message from the President of the United States transmitting notification that the national emergency with respect to the actions and policies of certain members of the Government of Belarus and other persons to undermine Belarus's democratic processes or institutions, as declared in Executive Order 13405 of June 16, 2006, is to continue in effect beyond June 16, 2017, pursuant to 50 U.S.C. 1622(d) ; Public law 94-412, Sec. 202(d) ; (90 Stat. 1257)."
"",Development status and potential program for development of proliferation-resistant molten-salt reactors
"","Facilities engineering : air conditioning, evaporative cooling, dehumidification, and mechanical ventilation"
United States. Congress. House. Select Committee on Foreign Aid.,European trade patterns : estimated net import requirements of Western Europe in 1948
"United States, enacting jurisdiction.","An Act to Amend Title 5, United States Code, to Provide for Flexibility in Making Withdrawals from a Thrift Savings Plan Account, and for Other Purposes"
"",Remission or cancellation of indebtedness enlisted members
"United States, enacting jurisdiction.","An Act to Ensure the Effective Processing of Mail by Federal Agencies, and for Other Purposes"
"United States. Government Accountability Office, author.","Workplace safety and health, better outreach, collaboration, and information needed to help protect workers at meat and poultry plants : report to congressional requesters"
United States. Department of the Army.,Army command policy and procedures
"",Gas chromatographic study of organophosphorus compounds using dexil-300 as a stationary phase and a hydrogen flame ionization detector
"United States, enacting jurisdiction.",An Act to Require the Secretary of the Treasury to Mint Commemorative Coins in Recognition of the 100th Anniversary of the American Legion
United States. Congress. Senate. Select Committee on Small Business.,"Small-business participation in Government procurement, 1957 : hearings before a subcommittee of the Select Committee on Small Business, United States Senate, Eighty-fifth Congress, first session, on small-business policies and programs of Government agencies, June 25, 26, 28, July 11, 12, and 30, 1957"
"United States. Congress. House. Committee on Rules, author.","Providing for consideration of the bill (H.R. 953) to amend the Federal Insecticide, Fungicide, and Rodenticide Act and the Federal Water Pollution Control Act to clarify Congressional intent regarding the regulation of the use of pesticides in or near navigable waters, and for other purposes : report (to accompany H. Res. 348)."
"United States. Congress. House. Committee on the Judiciary, author.",Adam Walsh Reauthorization Act of 2017 : report together with additional views (to accompany H.R. 1188) (including cost estimate of the Congressional Budget Office).
"",Crimes against humanity statutes and criminal code provisions in selected countries
United States. Congress. Senate. Committee on the Judiciary.,"Return of confiscated property : hearings before a subcommittee of the Committee on the Judiciary, United States Senate, Eighty-fifth Congress, first session, on S. 411 [and others] April 4, 5, and 6, 1957"
"","Genocide, crimes against humanity, and war crimes jurisdiction"
"",ORNL Direct Purchase Information System (DPIS) user's manual
"United States. Congress. House. Committee on House Administration, author.","Business meeting : meeting before the Committee on House Administration, House of Representatives, One Hundred Tenth Congress, first session, meeting held in Washington, DC, May 3, 2007"
United States. Congress. Joint Committee on Government Organization.,"Reorganization of the executive departments : hearings before the Joint Committee on Government Organization, Congress of the United States, appointed pursuant to Public resolution no. 4, Seventy-fifth Congress, first session, having under consideration Senate document no. 8, the Message of the President transmitting the report of the President's Committee on Administrative Management in the Government of the United States, February 16, 17, 18, 24; March 8, 9, 11, 19, 29, 31, and April 1, 27, and 29, 1937"
"","Separation of americium, curium, and rare earths from high-level wastes by oxalate precipitation : experiments with synthetic waste solutions"
United States. Department of Labor. Office of the Solicitor.,"Legislative history of the Davis-Bacon Act : Prepared in the Division of Wage Determinations, Office of the Solicitor, United States Department of Labor"
"United States. Congress. House. Committee on House Administration, author.","Organizational meeting : business meeting before the Committee on House Administration, House of Representatives, One Hundred Ninth Congress, first session, hearing held in Washington, DC, February 9, 2005"
United States. Congress. House. Committee on Education and Labor.,"Congressional action for higher education. Report of the Adivsory Group on Higher Education, Committee on Education and Labor, House of Representatives. January 1962"
United States. Congress. Senate. Select Committee on Government Organization.,"Fourth plan on government reorganization : hearings before the Select Committee on Government Organization, United States Senate, Seventy-sixth Congress, third session, on S. Con. Res. 43, a resolution disapproving reorganization plan numbered IV."
United States. Congress. Senate. Select Committee on Government Organization.,"Reorganization of the government agencies : hearings before the Select Committee on Government Organization, United States Senate, appointed pursuant to Senate resolution no. 69, Seventy-fifth Congress, first session, on S. 2700, a bill to provide for reorganizing agencies of the government, extending the classified civil service, establishing a general auditing office and a department of welfare, and for other purposes, August 2, 3, 4, 5, 6, 7, 9. 10, 11, 12, 1937"
"",Alcohol and drug abuse prevention and control program : no. I10
"",Your baby at 9 months
"",Su bebea los 9 meses
"",Army regulation no.600-25.
"",Alcohol and drug abuse prevention and control program : interim change no. I11
"",Alcohol and drug abuse prevention and control program : interim change no. I012
United States. Department of the Army.,"Medical restrictions and suspensions from flight duty nonmedical suspensions, flying evaluation boards, and flight status review system"
"",Personnel procurement : voluntary active duty with the Chaplain branch
United States. Department of the Army.,Appointment of commissioned and warrant officers in the Regular Army
"",General surgery
"",Aviation warrant officer training
"","Education : Army continuing education system (ACES), change no.2."
"",Military sentences to confinement
"",General surgery
"",Manual of warrant officer military occupational specialties
"Todd, Ruth, 1913-1984,",Smaller Foraminifera from Guam
"","Education : Army continuing education system (ACES), change no.1."
"United States. Congress. House. Committee on Homeland Security, author.",Department of Homeland Security Blue Campaign Authorization Act of 2017 : report (to accompany H.R. 1370).
"United States. Congress. House. Committee on the Judiciary, author.",Protecting against Child Exploitation Act of 2017 : report together with dissenting views (to accompany H.R. 1761) (including cost estimate of the Congressional Budget Office).
"",Do you need money for college? the guide to Federal student aid
"",Personnel separations : Officer personnel
"United States. Congress. House. Committee on the Judiciary, author.",Protecting Young Victims from Sexual Abuse Act of 2017 : report (to accompany H.R. 1973) (including cost estimate of the Congressional Budget Office).
"",Personnel separations : office personnel
"",Personnel separations : officer personnel
"","Personnel separations : officer personnel, interim change no.I10"
"United States. Department of Justice, author.",Special Counsel's Office statement of expenditures
"",Personnel separations : Officer resignations and discharges
"United States. Congress. House. Committee on Veterans' Affairs, author.",Veterans Appeals Improvement and Modernization Act of 2017 : report (to accompany H.R. 2288) (including cost estimate of the Congressional Budget Office).
"Gill, James R. (James Rogers), 1922-1972,","Stratigraphy of the Pierre Shale, Valley City and Pembina Mountain areas, North Dakota"
"",Infiltration control for low-level radioactive solid waste disposal areas : an assessment
"",Your child at 1 year
"",Deceased personnel
"",Su hijo de 1 ano
United States. Department of the Army.,"Decorations, awards, and honors: incentive awards"
"United States. Congress. House. Committee on Veterans' Affairs, author.","To amend title 38, United States Code, to improve the treatment of medical evidence provided by non-Department of Veterans Affairs medical professionals in support of claims for disability compensation under the laws administered by the Secretary of Veterans Affairs, and for other purposes : report (to accompany H.R. 1725) (including cost estimate of the Congressional Budget Office)."
"",Graphical determination of the radionuclide inventory in the concentrate and tailings from processing facilities
"","Decorations, awards, and honors : incentive awards, interim change no.I03"
"","Decorations, awards, and honors : incentive awards, interim change I04"
"",Technique for measuring the apparent thermal conductivity of flat insulations
"United States. Congress. House. Committee on Rules, author.","Providing for consideration of the bill (H.R. 1039) to amend section 3606 of title 18, United States Code, to grant probation officers authority to arrest hostile third parties who obstruct or impede a probation officer in the performance of official duties : report (to accompany H. Res. 324)."
"",Spatial correlations of precipitation in Northwest Georgia
"",User's instructions for ORCENT II : a digital computer program for the analysis of steam turbine cycles supplied by light-water-cooled reactors
"United States. Congress. House. Committee on Rules, author.","Providing for consideration of the bill (H.R. 115) to amend title 18, United States Code, to provide additional aggravating factors for the imposition of the death penalty based on the status of the victim : report (to accompany H. Res. 323)."
"","Cross sections for the ¹⁴N(n, p₀), (n, [alpha]₀) and (n, [alpha]₁) reactions from 0.5 to 15 MeV"
"Parks, Robert J.,",Medical training in World War II
"",A user's review of the major fuel-burning installation survey
"Parks, Robert J.,",Medical training in World War II
"United States. Congress. House. Committee on Homeland Security, author.",Improving Fusion Centers' Access to Information Act : report (to accompany H.R. 2169) (including cost estimate of the Congressional Budget Office).
"",PELLET : a computer routine for modeling pellet fueling in tokamak plasmas
"",Long-term projections of population and employment for regions of the United States (SERIES TOPS2.R2. OBERS).
"United States. Congress. Senate. Committee on Indian Affairs, author.","Amending the Indian Health Care Improvement Act to allow the Indian Health Service to cover the cost of a copayment of an Indian or Alaska native veteran receiving medical care or services from the Department of Veterans Affairs, and for other purposes : report (to accompany S. 304) (including cost estimate of the Congressional Budget Office)."
United States. Department of the Army.,Employment
"",Alternate fuel cycle technologies/thorium fuel cycle technology programs
"United States. Congress. House. Committee on Oversight and Government Reform, author.",Political Appointee Burrowing Prevention Act : report together with additional views (to accompany H.R. 1132) (including cost estimate of the Congressional Budget Office).
"Schultz, Leonard Gene, 1926-","Mineralogy and stratigraphy of the lower part of the Pierre Shale, South Dakota and Nebraska"
"United States. Congress. House. Committee on Oversight and Government Reform. Subcommittee on Health Care, Benefits, and Administrative Rules, author.","Examining the impact of voluntary restricted distribution systems in the pharmaceutical supply chain : hearing before the Subcommittee on Healthcare, Benefits, and Administrative Rules of the Committee on Oversight and Government Reform, House of Representatives, One Hundred Fifteenth Congress, first session, March 22, 2017"
"",Civilian personnel : evaluation of employees for promotion and internal placement
"",Civilian personnel : evaluation of employees for promotion and internal placement
"United States. Congress. House. Committee on Oversight and Government Reform. Subcommittee on Government Operations, author.","Improper payments in the federal government : student aid : joint hearing before the Subcommittee on Government Operations and the Subcommittee on Intergovernmental Affairs of the Committee on Oversight and Government Reform, House of Representatives, One Hundred Fifteenth Congress, first session, May 25, 2017"
"Salmon River Ranger District (Calif.), author.","Social economics report, Craggy vegetation management project"
"United States, enacting jurisdiction.",Early Hearing Detection and Intervention Act of 2017
"Salmon River Ranger District (Calif.), author.","Hydrology resource report, Craggy vegetation management project"
"",Your child at 18 months (1 1/2 Years).
"",NGDOS : a conversational computer code to implement US Nuclear Regulatory Commission Regulatory Guide 1. 109 models for estimation of annual doses from ingestion of atmospherically released radionuclides in foods
"",Su bebe a los 18 meses (1 1/2 anos).
"Salmon River Ranger District (Calif.), author.",Craggy vegetation management project wildlife biological evaluation
United States. Department of the Army.,General and miscellaneous : civilian personnel
"",Advanced fuel cycle program : progress report for period.....
"United States. Congress. House. Committee on Oversight and Government Reform, author.",Secret Service Recruitment and Retention Act of 2017 : report (to accompany H.R. 3731) (including cost estimate of the Congressional Budget Office).
"United States. Congress. House. Committee on Oversight and Government Reform, author.",Secret Service Recruitment and Retention Act of 2017 : report (to accompany H.R. 3731) (including cost estimate of the Congressional Budget Office).
"","Civilian career program for quality assurance specialists (ammunition surveillance) : civilian personnel, change no.3."
United States. Department of the Army.,Army civilian career program for equal employment opportunity personnel
"",Potassium vapor topping cycle gas-fired boiler water test
United States. Department of the Army.,"Army materiel systems reliability, availability, and maintainability : product assurance, Interim change"
"","Survey of industrial coal conversion equipment capabilities : equipment operating experience, prices and development programs"
"Geological Survey (U.S.), cartographer.","Lidar-revised geologic map of the Des Moines 7.5' quadrangle, King County, Washington"
United States. Congress.,Integration in public education programs. Report of the Subcommittee on Integration in Federally Assisted Public Education Programs
"Scott River Ranger District (Calif.), author.","Fire and fuels report, Craggy vegetation management project"
"Klamath National Forest (Agency : U.S.), author.","Sliviculture report, Craggy vegetation management project"
"","Requisition and issue of supplies and equipment : requisitioning, receipt, and issue system, effective 1 June 1982, change no.2."
"Scott River Ranger District (Calif.), author.","Terrestrial wildlife report, Craggy vegetation management project"
"","Organization and functions : organization, mission, and functions of headquarters, AMC"
"Scott River Ranger District (Calif.), author.","Aquatics resources report, Craggy vegetation management project"
"","Macroeconomic analysis of the ""Tax Cut and Jobs Act,"" as ordered reported by the Senate Committee on Finance on November 16, 2017"
United States. Army Materiel Command.,Army programs : program evaluation and review technique (PERT).
"",Pneumatic hydrogen pellet injection system for the ISX tokamak
"United States. Congress. House. Subcommittee on Customs, Tariffs, and Reciprocal Trade Agreements.","Report to the Committee on Ways and Means on United States customs, tariff, and trade agreement laws and their administration from the Subcommittee on Customs, Tariffs, and Reciprocal Trade Agreements"
"","Financial administration : Army Material Command Division, Army Stock Fund, uniform accounting and reporting"
